"","city","id","type","squareMeters","rooms","floorCount","buildYear","latitude","longitude","centreDistance","poiCount","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","population"
"1","Białystok","51a1e5633c207a9885686c1985626c09","apartamentowiec",80,3,3,2015,53.1392007,23.1548318,0.91,12,0.178,0.243,0.395,0.417,0.161,0.865,0.319,"no","yes","yes","no","no",659000,292600
"2","Białystok","4f55f88d670d787eed0489791a984ddf","blok mieszkalny",67,4,9,2018,53.1395622,23.1739563,2.04,27,0.331,0.644,0.529,0.07,0.103,0.177,0.079,"no","yes","yes","no","no",739000,292600
"3","Białystok","847b5341eb99caae13f7cc36d7ea81e2","blok mieszkalny",38.08,2,4,1963,53.13861,23.1517324,0.73,15,0.257,0.383,0.465,0.374,0.367,0.676,0.181,"no","yes","no","no","yes",355000,292600
"4","Białystok","00bee1321a4935e8dc9c9ad49dcee0c2","blok mieszkalny",73,3,3,2003,53.1268,23.1509543,0.82,27,0.391,0.135,0.243,0.346,0.126,0.723,0.124,"yes","yes","no","no","no",640000,292600
"5","Białystok","7b92e56d634d042a8453051377eb03f1","blok mieszkalny",49.3,2,3,1960,53.1352705,23.1360974,0.65,14,0.425,0.284,0.224,0.434,0.024,0.347,0.078,"no","no","no","no","yes",360000,292600
"6","Białystok","2ca4e849680acf58257c53edef97391c","blok mieszkalny",51,3,9,1995,53.1283,23.1588,1.06,46,0.173,0.186,0.337,0.186,0.144,0.257,0.036,"no","yes","yes","no","no",455000,292600
"7","Białystok","29376c3141ef4340d3d2e774f2c782cb","blok mieszkalny",54,2,3,1997,53.1449783,23.1004733,3.25,7,0.674,1.501,0.336,0.562,0.393,2.867,0.398,"no","yes","no","no","yes",445000,292600
"8","Białystok","daa9d23b4fef93c5a80b94f339377b72","blok mieszkalny",59.8,3,10,1988,53.145914,23.1158053,2.41,16,0.354,0.615,0.177,0.307,0.073,2.13,0.413,"no","yes","yes","no","yes",395000,292600
"9","Białystok","9b94aa373b5478e92d5b5cafee11b0e0","blok mieszkalny",76.89,3,4,2012,53.1461481,23.1193583,2.24,18,0.167,0.396,0.4,0.113,0.243,1.966,0.466,"no","yes","yes","no","no",760000,292600
"10","Białystok","91a11d197ea7c363a0e20359f0349852","blok mieszkalny",61,3,4,1983,53.1368918,23.184599,2.65,17,0.129,0.383,0.35,0.144,0.225,0.945,0.092,"no","yes","no","no","yes",519000,292600
"11","Białystok","4cc065da4204a842b534b8dd312bd22c","blok mieszkalny",59.4,3,4,1987,53.14677,23.10933,2.82,13,0.144,0.969,0.358,0.044,0.313,2.535,0.101,"no","yes","no","no","yes",565000,292600
"12","Białystok","010f873534360145b8317570c77e1533","blok mieszkalny",57.6,3,4,1972,53.1318,23.1912,3.07,16,0.144,0.391,0.213,0.247,0.183,1.603,0.207,"yes","yes","no","no","yes",499000,292600
"13","Białystok","9b3bc80005c8917baaf8224b59de4d47","apartamentowiec",44,2,15,2011,53.15071607,23.15793915,2.11,6,0.371,1.191,0.511,0.386,0.101,1.302,0.205,"no","yes","yes","no","no",489000,292600
"14","Białystok","04051d9589a07c175bde3f717fce55eb","blok mieszkalny",43,2,2,1952,53.13313584,23.1510049,0.38,50,0.217,0.371,0.228,0.149,0.026,0.384,0.109,"no","yes","no","no","yes",439000,292600
"15","Białystok","aa8e2a34c5e4b801b523588947b074eb","blok mieszkalny",63.74,3,4,1960,53.13501161,23.16321938,1.21,61,0.171,0.246,0.322,0.151,0.053,0.725,0.135,"no","no","no","no","yes",498000,292600
"16","Białystok","057e51fa36bb3874dbc15cf3f69b65c9","blok mieszkalny",42.2,2,4,1971,53.1226482,23.1408264,1.23,7,0.431,0.686,0.092,0.315,0.579,1.114,0.117,"no","yes","no","no","yes",339000,292600
"17","Białystok","133e6feb276cec6b0f90e82ac4cd3014","blok mieszkalny",60,3,4,1985,53.1515,23.1181,2.71,20,0.142,0.314,0.191,0.095,0.274,2.463,0.273,"no","yes","no","no","yes",420000,292600
"18","Białystok","7e440b7f6b7a040c3c38b5ab638841af","blok mieszkalny",75.47,4,8,2010,53.10227725,23.13652953,3.5,2,0.748,0.781,0.908,0.074,0.822,2.496,0.379,"no","yes","yes","no","no",556000,292600
"19","Białystok","3758aca8ef1e9003b07834cd52d9ec67","blok mieszkalny",48.4,3,4,1985,53.1482798,23.1529076,1.74,7,0.066,1.229,0.413,0.233,0.427,1.321,0.32,"no","yes","no","no","yes",429000,292600
"20","Białystok","5113be57033d4b5adf0222b6686a1d71","blok mieszkalny",51,2,4,1957,53.13233046,23.15437062,0.62,69,0.283,0.178,0.282,0.136,0.099,0.624,0.173,"no","yes","no","no","yes",549000,292600
"21","Białystok","142e7b4dd03ac9fccaa67d0e9ef1fac8","blok mieszkalny",36,2,3,1960,53.13414241,23.16292945,1.18,64,0.125,0.215,0.34,0.173,0.048,0.815,0.227,"no","no","no","no","yes",377000,292600
"22","Białystok","d5b037ba8606fe051c90f27a440ade96","blok mieszkalny",71.83,4,4,1990,53.1462,23.1194,2.24,19,0.169,0.396,0.404,0.116,0.238,1.968,0.463,"yes","yes","no","no","yes",449000,292600
"23","Białystok","4a6a616de670622a9748b1efd6569a51","blok mieszkalny",48,3,10,1980,53.1355997,23.1953627,3.35,6,0.505,0.533,0.386,0.285,0.369,1.671,0.349,"no","yes","yes","no","yes",385000,292600
"24","Białystok","74e46619bcdcbef6d02810188fdc5776","blok mieszkalny",45,2,4,1966,53.118,23.15121,1.75,13,0.402,0.356,0.485,0.393,0.287,1.211,0.266,"no","yes","no","no","yes",390000,292600
"25","Białystok","f985405bf0ae355efcf909880103f95b","blok mieszkalny",62.4,3,4,1977,53.1294,23.1788,2.28,20,0.186,0.28,0.248,0.144,0.18,1.17,0.24,"yes","yes","no","no","yes",449000,292600
"26","Białystok","a0026cd311a9f3044718b1c4503f8c9d","blok mieszkalny",47,2,11,1986,53.1525,23.1254,2.51,19,0.25,0.139,0.414,0.245,0.048,2.294,0.036,"no","yes","yes","no","yes",349000,292600
"27","Białystok","f9a4d92255823c99f197d811c69125dd","blok mieszkalny",59.7,4,11,1983,53.15424,23.11851,2.93,12,0.412,0.11,0.478,0.265,0.236,2.694,0.2,"no","yes","yes","no","yes",479000,292600
"28","Białystok","396176d65c846e9e6f8d7cc6c2e0e78d","blok mieszkalny",61,3,4,1983,53.13722,23.18301,2.56,17,0.114,0.334,0.31,0.092,0.279,0.833,0.094,"no","no","no","no","no",519000,292600
"29","Białystok","0ca98bb708ddd36f19b07d9e350d1b74","blok mieszkalny",41.5,2,4,1970,53.1410764,23.13639229,1.04,20,0.183,0.08,0.182,0.161,0.14,0.834,0.066,"no","yes","no","no","yes",339000,292600
"30","Białystok","0cdd33bf9a3f03e8286f239bf9f1c61a","blok mieszkalny",39,2,4,1962,53.13852,23.150704,0.68,15,0.317,0.446,0.508,0.397,0.436,0.627,0.186,"no","yes","no","no","yes",359000,292600
"31","Białystok","eb406daeec20e19b5c1c9995482ef7c5","blok mieszkalny",63.5,3,3,2009,53.1547008,23.1989497,4.3,1,1.167,1.94,0.165,0.846,0.777,2.462,0.85,"no","yes","no","no","yes",579000,292600
"32","Białystok","127b4d2cf7aa568e016be1172d49da9a","blok mieszkalny",34.67,1,2,1952,53.13539,23.15865,0.92,60,0.335,0.14,0.12,0.103,0.127,0.879,0.082,"no","no","no","no","yes",319000,292600
"33","Białystok","c8cccffb58537a375ebc47fabbad7314","blok mieszkalny",42.62,2,5,2023,53.15184,23.15794,2.22,8,0.268,1.258,0.597,0.373,0.095,1.409,0.195,"no","yes","yes","no","no",555000,292600
"34","Białystok","bb288571f5bbc6dfb0778714203cbf28","blok mieszkalny",45,2,4,1969,53.1379,23.1723,1.87,36,0.276,0.574,0.428,0.049,0.189,0.237,0.242,"yes","no","no","no","yes",399000,292600
"35","Białystok","ce3bf4fa0b6056b52f3081702b3fe972","kamienica",51.5,2,3,1955,53.136,23.129,1.12,10,0.2,0.209,0.417,0.142,0.456,0.823,0.06,"yes","no","no","no","yes",413000,292600
"36","Białystok","74236c2ceb1d1bf7559d83b8414dfd74","blok mieszkalny",68.1,3,11,1984,53.1446,23.1506,1.3,6,0.125,0.901,0.155,0.219,0.502,1.242,0.077,"no","yes","yes","no","yes",579000,292600
"37","Białystok","f0e4996b99e0fab7210c1a195ae68ed6","blok mieszkalny",37.3,2,4,1969,53.14136972,23.13533319,1.11,23,0.15,0.155,0.114,0.178,0.216,0.892,0.131,"no","no","no","no","yes",349000,292600
"38","Białystok","998e29bf4cbe94f65b220e7eb548945f","kamienica",60.1,2,3,1900,53.13735,23.15723,0.91,32,0.137,0.02,0.16,0.304,0.179,0.83,0.293,"no","no","no","yes","no",750000,292600
"39","Białystok","a8b45e59f815fe66d6dd201ab339a543","blok mieszkalny",73,3,3,2006,53.1268,23.1509543,0.82,27,0.391,0.135,0.243,0.346,0.126,0.723,0.124,"no","no","no","no","no",640000,292600
"40","Białystok","df8e4dba596cc992420404edaf5882ea","blok mieszkalny",48,2,7,2012,53.1324,23.1982,3.53,10,0.575,0.147,0.029,0.159,0.149,1.976,0.083,"yes","yes","yes","no","yes",528000,292600
"41","Białystok","d26fc67512a5db69fae3cc3c672a6c2f","blok mieszkalny",48,2,7,2012,53.13394,23.19955,3.62,9,0.68,0.333,0.164,0.33,0.341,1.994,0.113,"yes","no","yes","no","no",528000,292600
"42","Białystok","d29321e576d021630e9323b7d630b026","blok mieszkalny",40.87,2,5,2023,53.15184,23.15794,2.22,8,0.268,1.258,0.597,0.373,0.095,1.409,0.195,"no","yes","yes","no","no",535000,292600
"43","Białystok","64d84ee5c4bd04d025bf36c2fcf0b648","blok mieszkalny",51.46,2,3,1952,53.13496487,23.13815301,0.51,16,0.383,0.217,0.313,0.481,0.165,0.208,0.21,"no","no","no","no","yes",413000,292600
"44","Białystok","34ef7985142794d45deb833148cdeb7b","blok mieszkalny",36.5,2,4,1960,53.1395,23.1243,1.56,8,0.15,0.585,0.65,0.122,0.324,1.261,0.382,"yes","yes","no","no","yes",355000,292600
"45","Białystok","0f5d334e15042d9084624bce30cfe7cb","blok mieszkalny",71.5,3,4,1998,53.14523,23.10127,3.22,6,0.618,1.443,0.298,0.565,0.344,2.862,0.36,"no","yes","no","yes","yes",595000,292600
"46","Białystok","15c914c57399f2b1e2ae91314d0e2de2","blok mieszkalny",47,2,11,1980,53.1548,23.13002,2.59,10,0.413,0.38,0.237,0.152,0.446,2.416,0.403,"no","yes","yes","no","yes",349000,292600
"47","Białystok","e8d9bb42a20016f65fb6ea020973295c","blok mieszkalny",64.2,3,3,2002,53.11687586,23.14166457,1.85,15,0.246,0.868,0.493,0.243,0.098,1.378,0.286,"no","yes","no","no","yes",599000,292600
"48","Białystok","9fe72d6a5a52365676f6527caf755d52","kamienica",77.17,3,3,1950,53.1346389,23.16042584,1.02,65,0.3,0.059,0.265,0.049,0.021,0.861,0.076,"no","yes","no","no","yes",599000,292600
"49","Białystok","22e32c6f6eeebbf0b263317510bf72a8","apartamentowiec",50.39,3,4,2022,53.14002613,23.16518784,1.52,31,0.086,0.601,0.041,0.144,0.271,0.223,0.268,"yes","yes","yes","no","no",666000,292600
"50","Białystok","faae3cebf85cbb60c160e62cef44f349","blok mieszkalny",37,2,6,2007,53.14181294,23.16890663,1.84,23,0.109,0.493,0.278,0.189,0.104,0.122,0.143,"yes","yes","yes","no","no",459000,292600
"51","Białystok","168a8fdbd94fd903d8fb85eec81f0d97","blok mieszkalny",59.5,3,3,2005,53.15,23.1,3.54,3,0.418,1.219,0.75,0.056,0.597,3.252,0.563,"no","yes","no","no","yes",540000,292600
"52","Białystok","6e0b1cf5d9776190e730b1d83cb231b6","blok mieszkalny",50.99,3,3,1999,53.14191109,23.10659784,2.75,11,0.494,1.256,0.186,0.346,0.212,2.363,0.209,"no","yes","no","no","yes",458000,292600
"53","Białystok","560631cfcf01f2237d65598f21eb3550","blok mieszkalny",80,4,4,1992,53.13080905,23.08794022,3.83,10,0.345,0.423,0.172,0.274,0.238,2.552,0.172,"no","yes","no","no","yes",570000,292600
"54","Białystok","f39cca8f58df37ce8932c028f7b998e5","blok mieszkalny",66.6,3,4,1990,53.13080905,23.08794022,3.83,10,0.345,0.423,0.172,0.274,0.238,2.552,0.172,"no","yes","no","no","no",550000,292600
"55","Białystok","25f6e38ab5702ecbb9333969ec8d3e62","blok mieszkalny",49,3,3,2003,53.1497473,23.0873161,4.27,12,0.369,1.787,0.376,0.178,0.25,3.819,0.169,"no","yes","no","no","yes",569000,292600
"56","Białystok","a68aef3041d1fee807cd3052bec1c804","blok mieszkalny",43.56,2,4,1960,53.13896,23.17499,2.08,27,0.25,0.561,0.56,0.032,0.102,0.265,0.041,"no","no","no","no","yes",459500,292600
"57","Białystok","cd91496b67cce0213f0a91e9cf893554","blok mieszkalny",38,2,4,1970,53.1434,23.1405,1.16,13,0.314,0.386,0.521,0.166,0.32,1.037,0.322,"yes","yes","no","no","yes",310000,292600
"58","Białystok","7b503faa60937e5d8a838be25ed365c0","blok mieszkalny",78.1,4,4,1997,53.1354617,23.0832767,4.14,1,0.674,0.191,0.505,0.59,0.557,3.038,0.551,"no","no","no","no","yes",650000,292600
"59","Białystok","d614e309000d0801d3bd7808c59c8001","blok mieszkalny",33.5,1,4,1999,53.14472179,23.10765515,2.81,12,0.218,1.145,0.149,0.252,0.088,2.514,0.149,"no","yes","no","no","yes",360000,292600
"60","Białystok","12ae2fb08dbe8872bd6dfdd10feb3704","apartamentowiec",63.42,3,15,2014,53.1456905,23.1571354,1.58,5,0.44,0.907,0.307,0.502,0.098,0.922,0.376,"no","no","yes","no","no",730000,292600
"61","Białystok","6d9eb70858d4ce7276bd72cbc985811d","blok mieszkalny",48.31,3,5,2023,53.1434448,23.1405094,1.17,12,0.311,0.39,0.524,0.169,0.325,1.042,0.326,"no","yes","yes","no","no",510000,292600
"62","Białystok","0e2d3e7817eee12133c8700dee7c457a","blok mieszkalny",57.49,3,2,2023,53.1621,23.1234,3.51,0,0.647,0.671,1.16,0.832,1.022,3.327,0.965,"yes","yes","yes","yes","yes",790000,292600
"63","Białystok","7e81ef08157ff537bb88584c1abd8077","blok mieszkalny",75.95,4,4,1997,53.11616,23.14196,1.92,16,0.326,0.805,0.438,0.325,0.161,1.438,0.204,"yes","yes","no","no","yes",680000,292600
"64","Białystok","79e0a68cfafdd2d343c2df5bbfac5532","blok mieszkalny",59.7,3,4,1982,53.15175366,23.12082412,2.62,22,0.135,0.381,0.349,0.095,0.143,2.378,0.198,"no","yes","no","no","yes",399000,292600
"65","Białystok","5319662a561e839adcbeb6da91646528","apartamentowiec",48,2,7,2012,53.1324,23.1982,3.53,10,0.575,0.147,0.029,0.159,0.149,1.976,0.083,"yes","yes","yes","no","yes",528000,292600
"66","Białystok","5dc3ae283aa4fdcc82b2efb33870cba0","blok mieszkalny",42.62,2,5,2023,53.14438,23.14935,1.26,6,0.099,0.915,0.239,0.235,0.588,1.198,0.138,"yes","yes","yes","no","no",555000,292600
