"","city","id","type","squareMeters","rooms","floorCount","buildYear","latitude","longitude","centreDistance","poiCount","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","population"
"2751","Kraków","0a89520ebe660e749249c88bc595fccd","blok mieszkalny",45,3,10,1975,50.0811358,19.8966043,4.14,9,0.101,0.851,0.403,0.4,0.464,0.926,0.186,"no","no","yes","no","yes",595000,803282
"2752","Kraków","0a42efb7c4850186a5b174519fe37b18","blok mieszkalny",29.22,1,3,2023,50.072359,19.937246,1.9,29,0.324,0.243,0.237,0.394,0.173,0.3,0.226,"no","no","no","no","no",496400,803282
"2753","Kraków","75a9caad205bbd67a0cdebcc82ad8a2a","apartamentowiec",58.88,3,13,2023,50.0665953,19.9700102,2.58,11,0.501,0.441,0.598,0.467,0.041,0.619,0.295,"no","yes","yes","no","no",1292100,803282
"2754","Kraków","aa3105f8572aa570be5c9730e1ce430c","kamienica",46.5,2,3,1920,50.0605,19.9417,0.62,171,0.167,0.506,0.134,0.217,0.072,0.496,0.134,"no","no","no","no","no",649000,803282
"2755","Kraków","31fa862335008488ef08c2ed69114698","blok mieszkalny",71.51,4,5,2021,50.1017437498243,19.9606363894254,5.4,9,0.373,1.071,0.483,0.1,0.474,2.982,0.385,"yes","yes","yes","no","yes",965300,803282
"2756","Kraków","20e7537dfe5dc62207fba3b49e4fcba5","apartamentowiec",47.33,2,10,2023,50.06886,19.9779,3.19,10,0.649,0.447,0.067,0.136,0.415,1.235,0.495,"no","yes","yes","no","no",757233,803282
"2757","Kraków","2a675520fb729e0d6987fc27ac84fc85","apartamentowiec",65,4,2,2017,50.0921065,19.8851926,5.59,2,0.464,0.535,0.318,0.744,0.685,2.243,0.894,"no","no","yes","yes","yes",929000,803282
"2758","Kraków","17ba64ccede6accbd6fdbada8466183a","blok mieszkalny",43.8,2,3,2012,50.04443,19.96131,2.03,25,0.216,0.48,0.036,0.433,0.163,1.28,0.248,"no","yes","no","no","no",675000,803282
"2759","Kraków","2f6ef719918c622a66b84d956af05b6f","blok mieszkalny",84,4,4,1985,50.06313162,20.01514105,5.54,4,0.671,2.228,1,0.129,0.374,2.022,0.292,"yes","yes","no","no","yes",966000,803282
"2760","Kraków","c94078e9a1645768fcba1404930e927b","blok mieszkalny",48.05,3,9,2022,50.10338,20.01634,7.71,9,0.414,1.22,0.221,0.313,0.201,1.526,0.26,"no","yes","yes","no","no",649000,803282
"2761","Kraków","83654495d4ddf1207f8a6c823fb20eff","blok mieszkalny",37.2,2,4,1980,50.0080552,19.9557626,5.4,22,0.185,0.172,0.453,0.231,0.205,0.25,0.127,"no","yes","no","no","no",458000,803282
"2762","Kraków","c38aea80aaca58182bc9e6b477e68857","blok mieszkalny",28,1,9,2021,50.10046,20.01311,7.32,17,0.346,0.999,0.215,0.193,0.418,1.13,0.131,"no","no","yes","no","no",415000,803282
"2763","Kraków","099c984201d8dd29be44b5e818ddc521","blok mieszkalny",51.89,2,4,2014,50.0199,20.05745,9.37,1,1.131,3.877,0.493,0.597,0.577,4.201,0.555,"no","yes","yes","no","no",566800,803282
"2764","Kraków","9e48b899b5c0d4cfc7f6e942040917f1","blok mieszkalny",57,3,6,2017,50.0349031,19.9662189,3.01,4,1.076,1.402,0.388,0.56,0.342,2.394,0.418,"no","yes","yes","no","no",940000,803282
"2765","Kraków","85e97e1dffecba6b12d844a90758c4a7","blok mieszkalny",61.8,3,7,2023,50.0182916,19.9869255,5.38,21,0.392,1.226,0.315,0.31,0.067,2.452,0.094,"yes","yes","yes","no","no",710585,803282
"2766","Kraków","8153e66796a490fc0682ec09fac4915c","blok mieszkalny",58.05,3,4,2023,50.0446081,19.986768,3.65,7,0.382,0.481,0.493,0.291,0.311,1.549,0.404,"yes","no","yes","no","no",703310,803282
"2767","Kraków","e96aa0ff92684d5c96f25eacf8bcdc12","blok mieszkalny",46,3,10,1980,50.08677,19.94269,3.51,17,0.333,0.311,0.307,0.097,0.303,0.979,0.29,"no","yes","yes","no","yes",619000,803282
"2768","Kraków","3f368685bebe960ccd646c8a59247a93","kamienica",90.66,3,4,1905,50.0691985,19.9303642,1.65,45,0.127,0.401,0.209,0.219,0.214,0.406,0.255,"no","yes","no","no","no",1359900,803282
"2769","Kraków","1801075e0fa2476f75b4fdfa2a873321","kamienica",30.4,1,4,1910,50.0555532,19.9434262,0.36,139,0.057,0.754,0.394,0.35,0.112,0.525,0.196,"no","no","no","no","no",515000,803282
"2770","Kraków","d4fb5ef9dcfd41d4707f67083919bec7","kamienica",65.83,2,3,1940,50.05,19.9308,0.8,26,0.224,0.854,0.309,0.448,0.264,0.61,0.342,"no","no","no","no","yes",780000,803282
"2771","Kraków","a5d4d322cff2d8451a175d7b47d27693","blok mieszkalny",33.77,1,5,2010,50.04403258,19.9981909,4.45,8,0.495,0.905,0.211,0.221,0.382,0.901,0.425,"no","yes","yes","no","no",430000,803282
"2772","Kraków","1576d753aadef791e99cfa9c89429fdb","blok mieszkalny",51,2,8,1981,50.0759303,20.0100416,5.6,17,0.335,1.996,0.219,0.18,0.069,1.703,0.389,"no","no","yes","no","yes",590000,803282
"2773","Kraków","8852386b177b8bc789854840d30000f5","blok mieszkalny",38.32,2,10,1980,50.0169343,19.9799991,5.2,12,0.143,0.785,0.225,0.064,0.215,1.96,0.254,"no","no","yes","no","yes",430000,803282
"2774","Kraków","c727ccf7dd0198fa9ffa5b9321d7e8a8","kamienica",53,2,4,1927,50.0673945,19.9545319,1.77,32,0.098,0.355,0.188,0.622,0.084,0.607,0.334,"no","no","no","no","yes",689000,803282
"2775","Kraków","c3547ab8b84f38edd006f1e2ff13c8ca","blok mieszkalny",34.28,1,5,2008,50.09118,19.97623,4.82,9,0.416,1.401,0.648,0.077,0.066,1.899,0.08,"no","yes","yes","no","no",430000,803282
"2776","Kraków","e4699eadf1bff170010643e28b2e25dd","blok mieszkalny",36,2,8,2005,50.0172894,19.8957106,5.21,25,0.734,0.253,0.168,0.115,0.033,3.37,0.203,"no","yes","yes","no","no",495000,803282
"2777","Kraków","7b5dfbb61d33cb8f0cbc69b41de94cec","blok mieszkalny",71,4,4,2020,49.9983883,19.9001495,6.89,8,0.274,0.501,0.314,0.035,0.299,4.233,0.363,"yes","yes","no","no","no",799000,803282
"2778","Kraków","1ab96b935a579209eb583e0893a87b08","blok mieszkalny",49.83,3,4,2019,50.014468,19.871006,6.62,4,0.289,1.832,1.95,0.297,0.439,4.695,0.892,"yes","yes","yes","no","no",780000,803282
"2779","Kraków","ee51c9c3dbb738301d57ef8b8ab85f56","blok mieszkalny",45.5,2,4,1951,50.0741,20.038,7.41,27,0.31,1.091,0.401,0.087,0.094,0.42,0.111,"no","yes","yes","no","yes",753500,803282
"2780","Kraków","5e034c7fad38cdb85c6ae21adea33ae0","blok mieszkalny",46,2,3,2003,50.0607363,19.97988,3.02,11,0.19,0.91,0.361,0.183,0.406,1.357,0.332,"yes","yes","no","no","yes",349900,803282
"2781","Kraków","f221afe28cc9630c2717a525807a5e11","apartamentowiec",39,2,5,2018,50.0713956,19.954938,2.14,14,0.444,0.328,0.414,0.4,0.252,0.899,0.174,"yes","no","yes","no","no",919990,803282
"2782","Kraków","c5a249856f6ccee25cdcd02117dfb077","blok mieszkalny",66,4,10,1980,50.0904097,19.9632376,4.29,11,0.541,0.519,0.263,0.204,0.209,2.497,0.231,"no","yes","yes","no","yes",740000,803282
"2783","Kraków","d06840ba3ea8f90b29b1c399945e29c9","blok mieszkalny",65.6,4,10,1976,50.06322,19.93924,0.88,194,0.035,0.402,0.463,0.491,0.035,0.146,0.177,"yes","no","yes","no","no",645000,803282
"2784","Kraków","5eb9069774ed53677c68a9596ccf7949","kamienica",58.02,3,3,1960,50.0574345,19.9537453,1.12,25,0.228,0.246,0.103,0.264,0.144,0.267,0.05,"yes","no","yes","no","no",450000,803282
"2785","Kraków","0a6d3b3298be72c6645d24fb0927a036","apartamentowiec",103.6,5,4,2018,50.01246065,19.86952973,6.85,1,0.534,2.009,2.096,0.539,0.472,4.928,0.706,"yes","yes","yes","no","no",1549000,803282
"2786","Kraków","b3663043f7aab5940a2c6c924840da27","apartamentowiec",45,2,6,2013,50.08971055,19.96178088,4.17,13,0.647,0.474,0.218,0.326,0.213,2.374,0.25,"yes","yes","yes","no","no",585000,803282
"2787","Kraków","c12dea73f22a24a54dc682a0659ba006","blok mieszkalny",43,3,10,1970,50.0759411,19.9267239,2.44,26,0.325,0.435,0.323,0.13,0.068,0.597,0.048,"no","yes","yes","yes","yes",629000,803282
"2788","Kraków","36ba7bd14a3aabf645d40e6b342cbdfe","blok mieszkalny",36.1,2,10,1961,50.0871504,20.0220533,6.94,24,0.167,0.63,0.185,0.053,0.21,1.428,0.106,"no","no","yes","no","yes",410000,803282
"2789","Kraków","bb994f26db9c41969b3cf41d63b6efde","blok mieszkalny",51,2,6,2012,50.0165,19.9481,4.37,9,0.285,1.115,0.201,0.285,0.217,1.333,0.22,"yes","yes","yes","yes","no",750000,803282
"2790","Kraków","c8a026f54c57624e2f45ba11cd6c691c","blok mieszkalny",37,2,4,1970,50.0826,19.9572,3.32,8,0.238,0.245,0.266,0.441,0.244,1.95,0.316,"yes","no","no","no","yes",429000,803282
"2791","Kraków","7eca0d8e6c22f85ec84cc897bcb508f9","blok mieszkalny",57.07,3,6,2017,50.0365,20.0155,5.89,0,1.282,2.083,1.48,1.217,0.648,0.737,1.208,"no","yes","yes","no","no",9e+05,803282
"2792","Kraków","04d89fe4171b8535785910fb1b767d32","blok mieszkalny",34,1,3,2001,50.0472383,19.98887523,3.71,2,0.266,0.785,0.817,0.587,0.477,1.608,0.517,"no","no","no","no","no",450000,803282
"2793","Kraków","cd77c4536d82524473340214f4cff497","blok mieszkalny",36.1,2,10,1961,50.08599,20.02179,6.86,24,0.292,0.754,0.157,0.08,0.184,1.338,0.143,"no","no","yes","no","yes",4e+05,803282
"2794","Kraków","b55bce6e3155caca239e3cad9f849041","blok mieszkalny",37.2,2,4,1975,50.00806,19.95576,5.4,22,0.185,0.172,0.452,0.232,0.205,0.25,0.127,"no","yes","no","no","yes",440000,803282
"2795","Kraków","3bfbe40c7a302d0cc8dc980d5a58452f","blok mieszkalny",45,2,4,1970,50.08796522,20.00897282,6.21,13,0.301,0.952,0.451,0.172,0.239,0.697,0.368,"no","no","no","no","yes",449000,803282
"2796","Kraków","2aae35d307444bd1b65c0ac581b743b4","blok mieszkalny",37.5,2,5,2017,50.0634432,20.0162557,5.63,4,0.651,2.145,1.075,0.118,0.427,1.944,0.205,"yes","yes","yes","no","no",5e+05,803282
"2797","Kraków","5ecd5a4bda48e7e307d7294e8f512c7d","blok mieszkalny",141,6,3,1991,50.07143828,19.90859624,2.79,27,0.147,0.328,0.284,0.444,0.042,0.544,0.127,"no","no","no","no","yes",1550000,803282
"2798","Kraków","94738a40cb0c39cee5e850ba16ec7e2b","blok mieszkalny",61,3,4,2022,50.01058955,19.88999639,6.06,6,0.328,0.894,0.912,0.132,0.437,4.22,0.269,"yes","yes","yes","no","no",967000,803282
"2799","Kraków","e9e647fbd95e08fe2468d31c2ddf2c89","blok mieszkalny",54.38,2,5,1955,50.07636662,20.0494707,8.26,23,0.082,1.202,0.483,0.103,0.437,1.115,0.34,"no","no","no","no","no",595000,803282
"2800","Kraków","7dfcb99cf460ed0033ead6a7b09500fd","blok mieszkalny",66.69,3,7,2005,50.0981,19.9548,4.9,7,0.646,0.642,0.326,0.517,0.234,2.401,0.311,"no","yes","yes","yes","no",720000,803282
"2801","Kraków","79db5abb296423377885cb41626d6d7e","blok mieszkalny",38.1,2,4,2005,50.014,19.9592,4.83,7,0.431,0.64,0.37,0.571,0.361,0.853,0.376,"yes","yes","no","yes","no",459000,803282
"2802","Kraków","fca5d6db89bcc9a84f568e40e7d9f745","blok mieszkalny",36,2,10,1961,50.0871163,20.0305437,7.46,15,0.27,0.968,0.352,0.352,0.212,1.173,0.353,"no","no","yes","no","no",4e+05,803282
"2803","Kraków","d19e7cc7dde84d855e43bb71e6bd5071","blok mieszkalny",32.67,2,6,2023,50.077341,19.9530872,2.66,4,0.425,0.848,0.524,0.267,0.449,1.531,0.586,"yes","yes","yes","no","no",590000,803282
"2804","Kraków","2362609dca5f3f763430a95e0e0b6aef","blok mieszkalny",37,2,10,1968,50.0735627,19.9074115,3.01,17,0.384,0.445,0.402,0.322,0.209,0.624,0.151,"yes","no","yes","no","yes",494000,803282
"2805","Kraków","8e22748bb1f936d947bd1e9ddcc50601","kamienica",48.68,2,3,1891,50.0578804,19.9294621,0.7,35,0.116,0.283,0.044,0.68,0.087,0.517,0.109,"no","yes","yes","no","yes",869000,803282
"2806","Kraków","1d414de4967f8ff923f67dec2d018bea","blok mieszkalny",38,2,10,1970,50.084814,19.906443,4,19,0.136,1.151,0.241,0.151,0.234,1.524,0.238,"no","no","yes","no","yes",494000,803282
"2807","Kraków","2b16ddbe3917608e9b2d411a735b26df","blok mieszkalny",31,2,10,1975,50.0222023,19.99637521,5.54,6,0.462,1.149,0.566,0.489,0.173,1.797,0.776,"no","no","yes","no","yes",399000,803282
"2808","Kraków","3ab7190491f0ba4fc7f46a64ade50a04","kamienica",69,2,3,1935,50.0685006,19.9205473,1.95,24,0.092,0.568,0.175,0.307,0.151,0.555,0.163,"yes","yes","no","no","yes",750000,803282
"2809","Kraków","cf9e465c291d3c4aaf598d3241929969","blok mieszkalny",73,3,3,2023,50.06322,19.93924,0.88,194,0.035,0.402,0.463,0.491,0.035,0.146,0.177,"yes","yes","yes","no","no",1390000,803282
"2810","Kraków","8b42b7baa3118257778a1c5fbb8226e8","blok mieszkalny",45.6,3,4,2017,50.0388206,19.99964443,4.74,7,0.394,0.922,0.543,0.387,0.306,0.435,0.168,"yes","yes","yes","no","no",780000,803282
"2811","Kraków","46005d84b5de3222258ea9ae1786de0f","blok mieszkalny",37,2,10,1968,50.0735627,19.9074115,3.01,17,0.384,0.445,0.402,0.322,0.209,0.624,0.151,"no","no","yes","no","no",494000,803282
"2812","Kraków","ae86930375c4f96bf6842db30150e645","kamienica",32.94,2,3,1921,50.045802,19.9524286,1.45,42,0.169,0.749,0.174,0.559,0.078,1.004,0.217,"yes","yes","no","no","no",660000,803282
"2813","Kraków","fe1bea3a74ca0a50a7859d6cd0c2e993","blok mieszkalny",120.5,4,8,2000,50.0783415,19.9807524,3.96,11,0.312,1.078,0.146,0.231,0.24,2.032,0.508,"no","yes","yes","no","no",1399000,803282
"2814","Kraków","99cd6ccce960b6a4c251705d8cf2ef69","apartamentowiec",87,4,4,2021,49.9994049755807,19.8928865093113,7.02,5,0.303,1.032,0.218,0.223,0.232,4.722,0.17,"yes","yes","yes","no","no",1350000,803282
"2815","Kraków","15d9ac7704160b2b534dba606b5d3420","apartamentowiec",74.3,4,6,2014,50.06325081,20.0187711,5.8,3,0.735,1.969,1.256,0.122,0.601,1.851,0.096,"yes","yes","yes","no","no",899000,803282
"2816","Kraków","ee420b30146c9cd2b1e7e59ac55b2f13","apartamentowiec",64,2,10,2022,50.062088,19.9666695,2.15,25,0.19,0.34,0.321,0.242,0.379,0.445,0.201,"yes","yes","yes","no","yes",1500000,803282
"2817","Kraków","fe6242101599e5b5e5b3d8f23a47b531","blok mieszkalny",38.1,2,10,1960,50.08717902,20.02158652,6.91,24,0.183,0.621,0.213,0.051,0.18,1.45,0.077,"no","no","yes","no","yes",410000,803282
"2818","Kraków","237d0586048e53b12c043a1452b99ade","blok mieszkalny",52,2,2,2008,50.0924452,19.90343718,4.83,3,0.737,0.772,0.84,0.188,0.586,2.131,0.225,"yes","yes","no","no","no",597000,803282
"2819","Kraków","bfd6d2c328070f7d36d890eb26b77491","blok mieszkalny",64,4,4,1970,50.0881947615066,19.9288105106311,3.72,17,0.119,0.41,0.323,0.25,0.378,0.521,0.101,"yes","yes","no","no","yes",750000,803282
"2820","Kraków","2afeb3d6886079dcd17d756f59fdc311","apartamentowiec",26.52,1,4,2023,50.0450968,19.9691749,2.47,12,0.676,0.576,0.489,0.286,0.075,1.523,0.142,"yes","no","yes","no","no",510000,803282
"2821","Kraków","34795f904e0a6da1c66910a1174da058","apartamentowiec",43.16,2,2,2022,50.093,19.8728,6.29,2,0.881,0.251,0.871,0.757,1.241,2.731,1.425,"yes","yes","no","no","yes",645000,803282
"2822","Kraków","f5ef3f12128775a5745554c5f094dfb7","blok mieszkalny",31,2,10,1976,50.0133992746866,20.0061380847109,6.71,21,0.224,0.355,0.336,0.102,0.197,2.661,0.254,"yes","no","yes","no","yes",496000,803282
"2823","Kraków","dc0b99055253a3c88b649594d2229208","blok mieszkalny",51.5,2,4,1999,50.0107453,19.9454571,4.98,6,0.446,0.947,0.695,0.274,0.178,1.024,0.403,"no","yes","no","no","yes",665000,803282
"2824","Kraków","0da9c97cbc55eefca756926b1e5617f5","blok mieszkalny",39,2,10,1971,50.07410821,20.03700256,7.34,28,0.373,1.131,0.402,0.155,0.09,0.372,0.118,"no","yes","yes","no","yes",469000,803282
"2825","Kraków","c9bc1e25f3fbb8377bd35b39c65ec410","blok mieszkalny",71.4,3,3,1980,50.0180860384743,19.9516498787066,4.24,10,0.066,0.904,0.242,0.065,0.233,1.382,0.243,"yes","yes","no","no","no",799000,803282
"2826","Kraków","b76c27853d40823eeeb2261b188d1b16","blok mieszkalny",40.5,2,3,1975,50.09558363,20.06362625,9.99,5,0.345,1.684,0.138,0.208,0.752,2.98,0.145,"no","yes","no","no","yes",399000,803282
"2827","Kraków","5b8ddd01b01b72c6068cbbcae0933aa2","apartamentowiec",67.07,3,4,2013,50.04587,19.98729,3.64,4,0.323,0.621,0.639,0.4,0.329,1.597,0.397,"no","yes","yes","yes","no",899000,803282
"2828","Kraków","853db0a3eb1bf549350d656c74c6245c","blok mieszkalny",30,2,3,2019,50.0068849,19.9726221,5.91,3,0.493,0.979,0.649,0.485,0.373,1.042,0.515,"no","yes","yes","no","no",455000,803282
"2829","Kraków","89d457a2d2087ca5c4dec264837abe11","blok mieszkalny",50.14,2,4,2012,50.04071,20.00237,4.84,6,0.669,1.103,0.55,0.194,0.412,0.43,0.197,"no","yes","yes","no","no",670000,803282
"2830","Kraków","9214710cd1e343acd4e051c039724bc4","kamienica",38,3,4,1911,50.0520459,19.9380155,0.36,94,0.134,0.606,0.186,0.155,0.133,0.429,0.172,"no","no","no","no","yes",683000,803282
"2831","Kraków","f50e0ddba34bec5a176cf24084baf1de","blok mieszkalny",41.49,2,5,2022,50.03844,19.98545,3.84,3,0.513,0.231,0.208,0.245,0.82,1.421,0.915,"no","yes","yes","no","yes",659691,803282
"2832","Kraków","497f429ee173a6dcfc781aed22565f16","apartamentowiec",56.25,3,3,2020,50.05239,19.92667,0.9,23,0.154,0.521,0.124,0.288,0.068,0.786,0.121,"no","no","yes","no","no",838125,803282
