"","city","id","type","squareMeters","rooms","floorCount","buildYear","latitude","longitude","centreDistance","poiCount","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","population"
"1","Białystok","94edf64a625df944cbbf7363b91452d3","blok mieszkalny",52.3,2,4,1986,53.1199,23.1044,3.11,8,0.184,1.512,0.312,0.093,0.112,1.379,0.312,"yes","yes","no","no","yes",390000,292600
"2","Białystok","658749b0dad000cd825ba7e0fae05f08","blok mieszkalny",87,3,4,1996,53.1117803,23.1427442,2.4,12,0.449,0.484,0.358,0.3,0.271,1.795,0.189,"yes","yes","no","no","yes",693000,292600
"3","Białystok","8cba24cde51cb8f1aa4c2888856e1940","blok mieszkalny",36.7,2,4,1972,53.143,23.1838,2.79,13,0.33,0.742,0.414,0.207,0.253,0.894,0.291,"no","yes","no","no","yes",279000,292600
"4","Białystok","2304f01812629ae7c1fbc53a5cd42ed1","blok mieszkalny",62.9,4,10,1979,53.1356,23.19054,3.03,11,0.189,0.689,0.223,0.21,0.243,1.366,0.217,"no","yes","yes","no","yes",410000,292600
"5","Białystok","1f3a5735b5c5050a37b4e70a15c2a1d0","blok mieszkalny",54.8,3,4,1970,53.14051529,23.13994158,0.87,14,0.138,0.183,0.424,0.229,0.105,0.718,0.189,"no","yes","no","no","yes",459000,292600
"6","Białystok","b3d72ab8e4ee2b437ef052220db42e2e","blok mieszkalny",58,3,4,1970,53.1409227,23.1256683,1.55,9,0.125,0.429,0.534,0.258,0.49,1.27,0.531,"no","yes","no","no","yes",390000,292600
"7","Białystok","d61bb898e5d83a412cc9688204799e88","blok mieszkalny",48.8,2,4,1979,53.13650692,23.18701505,2.81,18,0.114,0.503,0.385,0.27,0.249,1.111,0.237,"no","yes","no","no","yes",319000,292600
"8","Białystok","b1ac08ea7a6738a5e87ac72ec0ce9504","blok mieszkalny",62,4,4,1975,53.13945872,23.16986517,1.78,29,0.167,0.695,0.302,0.188,0.134,0.116,0.148,"no","yes","no","no","yes",5e+05,292600
"9","Białystok","aa8e2a34c5e4b801b523588947b074eb","blok mieszkalny",63.74,3,4,1960,53.13501161,23.16321938,1.21,61,0.171,0.246,0.322,0.151,0.053,0.725,0.135,"no","no","no","no","yes",498000,292600
"10","Białystok","f16fbc42a87109b19c4156b723ea4703","apartamentowiec",57.88,3,9,2015,53.1395622,23.1739563,2.04,27,0.331,0.644,0.529,0.07,0.103,0.177,0.079,"no","yes","yes","no","yes",649000,292600
"11","Białystok","057e51fa36bb3874dbc15cf3f69b65c9","blok mieszkalny",42.2,2,4,1971,53.1226482,23.1408264,1.23,7,0.431,0.686,0.092,0.315,0.579,1.114,0.117,"no","yes","no","no","yes",339000,292600
"12","Białystok","1702564ecc190882d6e273f56712c598","blok mieszkalny",39,2,4,1979,53.1319,23.1367,0.59,13,0.346,0.408,0.207,0.175,0.387,0.371,0.179,"no","yes","no","no","yes",299000,292600
"13","Białystok","beae7744ddf01ab9f058f28c9332061b","blok mieszkalny",83.1,4,4,1991,53.1372677,23.1683069,1.6,41,0.092,0.66,0.306,0.253,0.002,0.363,0.106,"no","yes","no","no","yes",530000,292600
"14","Białystok","4158d8ca9bf625cb4fbbe8e6778162f8","blok mieszkalny",62.8,3,4,1979,53.1376052,23.1861666,2.77,12,0.192,0.514,0.481,0.275,0.325,1.02,0.223,"no","yes","no","no","yes",425000,292600
