"","city","id","type","squareMeters","rooms","floorCount","buildYear","latitude","longitude","centreDistance","poiCount","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","population"
"1","Białystok","51a1e5633c207a9885686c1985626c09","apartamentowiec",80,3,3,2015,53.1392007,23.1548318,0.91,12,0.178,0.243,0.395,0.417,0.161,0.865,0.319,"no","yes","yes","no","no",659000,292600
"2","Białystok","4f55f88d670d787eed0489791a984ddf","blok mieszkalny",67,4,9,2018,53.1395622,23.1739563,2.04,27,0.331,0.644,0.529,0.07,0.103,0.177,0.079,"no","yes","yes","no","no",739000,292600
"3","Białystok","a3dbd51846d164355ce6329c09653b9d","apartamentowiec",98.2,3,7,2004,53.1301146,23.1542486,0.7,58,0.235,0.019,0.353,0.252,0.111,0.62,0.209,"yes","yes","yes","no","no",750000,292600
"4","Białystok","91a11d197ea7c363a0e20359f0349852","blok mieszkalny",61,3,4,1983,53.1368918,23.184599,2.65,17,0.129,0.383,0.35,0.144,0.225,0.945,0.092,"no","yes","no","no","yes",549000,292600
"5","Białystok","4cc065da4204a842b534b8dd312bd22c","blok mieszkalny",59.4,3,4,1987,53.14677,23.10933,2.82,13,0.144,0.969,0.358,0.044,0.313,2.535,0.101,"no","yes","no","no","yes",579000,292600
"6","Białystok","010f873534360145b8317570c77e1533","blok mieszkalny",57.6,3,4,1972,53.1318,23.1912,3.07,16,0.144,0.391,0.213,0.247,0.183,1.603,0.207,"yes","yes","no","no","yes",499000,292600
"7","Białystok","8cba24cde51cb8f1aa4c2888856e1940","blok mieszkalny",36.7,2,4,1972,53.143,23.1838,2.79,13,0.33,0.742,0.414,0.207,0.253,0.894,0.291,"no","yes","no","no","yes",269000,292600
"8","Białystok","b3d72ab8e4ee2b437ef052220db42e2e","blok mieszkalny",58,3,4,1970,53.1409227,23.1256683,1.55,9,0.125,0.429,0.534,0.258,0.49,1.27,0.531,"no","yes","no","no","yes",390000,292600
"9","Białystok","b1ac08ea7a6738a5e87ac72ec0ce9504","blok mieszkalny",62,4,4,1975,53.13945872,23.16986517,1.78,29,0.167,0.695,0.302,0.188,0.134,0.116,0.148,"no","yes","no","no","yes",5e+05,292600
"10","Białystok","aa8e2a34c5e4b801b523588947b074eb","blok mieszkalny",63.74,3,4,1960,53.13501161,23.16321938,1.21,61,0.171,0.246,0.322,0.151,0.053,0.725,0.135,"no","no","no","no","yes",498000,292600
"11","Białystok","057e51fa36bb3874dbc15cf3f69b65c9","blok mieszkalny",42.2,2,4,1971,53.1226482,23.1408264,1.23,7,0.431,0.686,0.092,0.315,0.579,1.114,0.117,"no","yes","no","no","yes",339000,292600
"12","Białystok","1702564ecc190882d6e273f56712c598","blok mieszkalny",39,2,4,1979,53.1319,23.1367,0.59,13,0.346,0.408,0.207,0.175,0.387,0.371,0.179,"no","yes","no","no","yes",299000,292600
"13","Białystok","beae7744ddf01ab9f058f28c9332061b","blok mieszkalny",83.1,4,4,1991,53.1372677,23.1683069,1.6,41,0.092,0.66,0.306,0.253,0.002,0.363,0.106,"no","yes","no","no","yes",530000,292600
"14","Białystok","a77b54540f80df1e171359ba970ad914","blok mieszkalny",30.2,2,4,1972,53.14089384,23.09676862,3.34,3,0.972,1.16,0.661,0.389,0.28,2.665,0.302,"no","no","no","no","yes",310000,292600
"15","Białystok","133e6feb276cec6b0f90e82ac4cd3014","blok mieszkalny",60,3,4,1985,53.1515,23.1181,2.71,20,0.142,0.314,0.191,0.095,0.274,2.463,0.273,"no","yes","no","no","yes",420000,292600
"16","Białystok","7e440b7f6b7a040c3c38b5ab638841af","blok mieszkalny",75.47,4,8,2010,53.10227725,23.13652953,3.5,2,0.748,0.781,0.908,0.074,0.822,2.496,0.379,"no","yes","yes","no","no",556000,292600
"17","Białystok","3758aca8ef1e9003b07834cd52d9ec67","blok mieszkalny",48.4,3,4,1985,53.1482798,23.1529076,1.74,7,0.066,1.229,0.413,0.233,0.427,1.321,0.32,"no","yes","no","no","yes",429000,292600
"18","Białystok","c787410d9764c9ec385c3df2c9a0409e","kamienica",59,3,2,1954,53.1312945,23.1613117,1.1,59,0.354,0.301,0.199,0.089,0.022,0.496,0.289,"no","no","no","no","yes",490000,292600
"19","Białystok","ba8e6e8eb23e05b83572debe6b5d039c","blok mieszkalny",57.86,3,4,1974,53.14311623,23.17746034,2.41,19,0.096,0.367,0.073,0.193,0.17,0.536,0.087,"no","yes","no","no","yes",420000,292600
"20","Białystok","7e2af3e8ba76542a21f95554c98f5cac","blok mieszkalny",64.2,3,3,2002,53.11401937,23.14082816,2.17,13,0.391,0.561,0.224,0.347,0.078,1.529,0.146,"no","yes","no","no","yes",599000,292600
"21","Białystok","bcbfcb75bad79c035577c98a14150aaa","blok mieszkalny",58.5,3,4,1997,53.1351136,23.1724069,1.82,30,0.135,0.424,0.121,0.347,0.203,0.543,0.148,"no","yes","no","no","yes",480000,292600
"22","Białystok","142e7b4dd03ac9fccaa67d0e9ef1fac8","blok mieszkalny",36,2,3,1960,53.13414241,23.16292945,1.18,64,0.125,0.215,0.34,0.173,0.048,0.815,0.227,"no","no","no","no","yes",377000,292600
"23","Białystok","658749b0dad000cd825ba7e0fae05f08","blok mieszkalny",87,3,4,1996,53.1117803,23.1427442,2.4,12,0.449,0.484,0.358,0.3,0.271,1.795,0.189,"yes","yes","no","no","yes",693000,292600
"24","Białystok","fd895a46270e1f596e2c1a737a6d5676","blok mieszkalny",48,2,4,1980,53.1519,23.1211,2.62,22,0.157,0.383,0.373,0.113,0.123,2.381,0.18,"no","yes","no","no","yes",295000,292600
"25","Białystok","e89fda2c35d2c39421925773e2b8c0d5","blok mieszkalny",73,3,7,1991,53.1096258,23.1310357,2.8,12,0.467,0.292,0.482,0.061,0.074,1.606,0.457,"no","yes","yes","no","yes",499000,292600
"26","Białystok","d536e8d03b3c0ccb72061c126e7a4869","blok mieszkalny",47.21,2,10,1984,53.1535756,23.1136802,3.08,7,0.512,0.224,0.35,0.427,0.301,2.828,0.455,"no","yes","yes","no","yes",379000,292600
"27","Białystok","7521d4818f4ac3a06e313c75fd3622b2","apartamentowiec",58.09,3,15,2017,53.15173,23.15664,2.18,8,0.232,1.324,0.65,0.325,0.047,1.443,0.108,"no","yes","yes","no","no",730000,292600
"28","Białystok","e66cf4f8206b560d6522fb7684ac49d0","blok mieszkalny",61.6,3,4,1991,53.13080905,23.08794022,3.83,10,0.345,0.423,0.172,0.274,0.238,2.552,0.172,"no","yes","no","no","yes",449000,292600
"29","Białystok","2ca4e849680acf58257c53edef97391c","blok mieszkalny",51,3,9,1995,53.1283,23.1588,1.06,46,0.173,0.186,0.337,0.186,0.144,0.257,0.036,"no","yes","yes","no","no",455000,292600
"30","Białystok","03bf18e34c03847f7ec2565c8336c323","apartamentowiec",55.48,3,7,2011,53.13520665,23.12253606,1.53,7,0.368,0.649,0.78,0.405,0.357,1.232,0.228,"yes","yes","yes","no","no",635000,292600
"31","Białystok","29376c3141ef4340d3d2e774f2c782cb","blok mieszkalny",54,2,3,1997,53.1449783,23.1004733,3.25,7,0.674,1.501,0.336,0.562,0.393,2.867,0.398,"no","yes","no","no","yes",445000,292600
"32","Białystok","c4c4ae55dd1d4871b53b091ef22e9629","blok mieszkalny",49,2,4,2005,53.1244260228404,23.0943452627004,3.54,7,0.228,1.249,0.352,0.539,0.152,1.994,0.31,"yes","yes","no","yes","yes",445000,292600
"33","Białystok","fb791430ac54a3e529f0e49b897fe4bd","blok mieszkalny",59.8,3,10,1988,53.1455384,23.1171959,2.31,14,0.269,0.516,0.242,0.209,0.17,2.031,0.469,"no","yes","yes","no","yes",395000,292600
"34","Białystok","10f1050d2cf9928098aa1da354035502","blok mieszkalny",32.2,2,4,1976,53.1179,23.1432,1.72,15,0.244,0.826,0.499,0.191,0.055,1.412,0.29,"yes","no","no","no","yes",299000,292600
"35","Białystok","721b17cdcca516a7dbfb5631fcf86083","blok mieszkalny",36,2,4,1970,53.1410479,23.1673583,1.71,23,0.061,0.624,0.145,0.07,0.111,0.068,0.228,"no","no","no","no","yes",269000,292600
"36","Białystok","b079f12bf9225db964c939f4cd1ce7b2","blok mieszkalny",64.7,3,4,1990,53.11361281,23.14637731,2.2,8,0.723,0.797,0.572,0.597,0.109,1.795,0.068,"no","yes","no","no","yes",499000,292600
"37","Białystok","daa9d23b4fef93c5a80b94f339377b72","blok mieszkalny",59.8,3,10,1988,53.145914,23.1158053,2.41,16,0.354,0.615,0.177,0.307,0.073,2.13,0.413,"no","yes","yes","no","yes",395000,292600
"38","Białystok","df7b53d2136a7ad86a4cfed090c6d651","blok mieszkalny",61.93,3,12,2016,53.1395622,23.1739563,2.04,27,0.331,0.644,0.529,0.07,0.103,0.177,0.079,"yes","yes","yes","no","no",660000,292600
"39","Białystok","a2bd69ec6e62481410b26c7a8eb04635","blok mieszkalny",53.5,2,4,1963,53.12589,23.17615,2.22,29,0.113,0.413,0.289,0.106,0.319,0.964,0.308,"no","yes","no","no","yes",420000,292600
"40","Białystok","89e772662f1e52c057a20dc0aa2a174f","blok mieszkalny",33,3,10,1980,53.13204497,23.18458557,2.63,30,0.33,0.254,0.238,0.262,0.314,1.245,0.198,"no","no","yes","no","no",329000,292600
"41","Białystok","c49446a4c60be0a5a13489d9f21c67f5","kamienica",42.1,3,1,1954,53.1314111,23.1568698,0.8,64,0.343,0.205,0.128,0.309,0.082,0.604,0.023,"no","no","no","no","yes",369000,292600
"42","Białystok","1840558b9034f626f714d60c3be00903","blok mieszkalny",49,2,3,2011,53.1260965,23.1927185,3.27,3,0.295,0.426,0.82,0.615,0.484,2.066,0.635,"yes","yes","no","no","no",499000,292600
"43","Białystok","fd63fdbdbe7179a0865a632bd45298c8","blok mieszkalny",35.7,2,4,1986,53.1472175,23.1489176,1.56,6,0.337,1.077,0.398,0.409,0.659,1.476,0.248,"no","yes","no","no","yes",295000,292600
"44","Białystok","6c865b5378a3df1a18a3fce3c3239c56","blok mieszkalny",42.25,2,1,2021,53.1157482,23.1937936,3.78,0,0.585,0.746,0.554,0.766,0.622,2.467,0.589,"yes","yes","no","no","yes",519000,292600
"45","Białystok","6e45747924b848a118d396649596a45d","blok mieszkalny",67.82,3,5,2020,53.1525,23.1254,2.51,19,0.25,0.139,0.414,0.245,0.048,2.294,0.036,"yes","yes","yes","no","no",599000,292600
"46","Białystok","85b3e5b3d84ba9c8203040c64fe28d36","blok mieszkalny",63.5,3,3,2009,53.1547678,23.1983355,4.27,1,1.126,1.966,0.202,0.841,0.771,2.437,0.847,"no","no","no","no","no",580000,292600
"47","Białystok","afd0a0c4e9925dacbfd09ccd61840f05","blok mieszkalny",40.3,2,3,2001,53.15316,23.09957,3.76,4,0.267,1.159,0.816,0.335,0.677,3.479,0.51,"no","no","no","no","no",349000,292600
"48","Białystok","74353bc95605eab7a499910129f5a52b","blok mieszkalny",49.1,3,11,1976,53.139,23.1309,1.15,17,0.251,0.325,0.3,0.224,0.514,0.863,0.269,"no","yes","yes","no","yes",399000,292600
"49","Białystok","49568998c95737741a10150ae3c48869","blok mieszkalny",44.5,2,7,2006,53.1426,23.1702,1.96,22,0.216,0.372,0.4,0.306,0.208,0.239,0.162,"yes","yes","yes","no","no",419000,292600
"50","Białystok","66cf141d57404720c6995eb5f60ada17","blok mieszkalny",43.5,2,15,2010,53.15161,23.15488,2.13,8,0.228,1.418,0.734,0.229,0.132,1.499,0.026,"no","yes","yes","yes","no",489000,292600
"51","Białystok","c9bb71a6adf4f011e9714173509283e2","blok mieszkalny",33,2,4,1979,53.1177284229208,23.1433089075031,1.74,13,0.258,0.826,0.52,0.209,0.05,1.427,0.307,"no","no","no","no","yes",296000,292600
"52","Białystok","e8a84b74cb5088e57957d5664371981d","blok mieszkalny",38,2,4,1968,53.1434248398367,23.1343269819858,1.34,22,0.194,0.373,0.259,0.133,0.237,1.128,0.212,"no","no","no","no","yes",340000,292600
"53","Białystok","6e6ab72e68dcf7c09b59756002b5368e","blok mieszkalny",59.8,3,3,1982,53.1289551,23.10416222,2.78,9,0.24,1.448,0.436,0.184,0.403,1.469,0.173,"no","yes","no","no","yes",419000,292600
"54","Białystok","2d3353ac3a6d1a280da4d0c37b284327","blok mieszkalny",32.3,2,4,1977,53.14515615,23.17909031,2.61,13,0.208,0.381,0.181,0.135,0.182,0.773,0.171,"no","yes","no","no","yes",297000,292600
"55","Białystok","2865583fe0fe82f517d32fc892af1410","blok mieszkalny",61.85,3,4,1989,53.10466,23.12361,3.5,6,0.625,0.934,0.28,0.173,0.706,2.092,0.218,"no","yes","no","no","yes",392000,292600
"56","Białystok","762cf62962b99feb34076b5422a7f900","blok mieszkalny",55,3,3,2000,53.1136851,23.1297282,2.42,5,0.369,0.391,0.546,0.258,0.481,1.149,0.374,"yes","yes","no","no","yes",479000,292600
"57","Białystok","96172cc3ca8f322a7b7b79e4b10b71d9","blok mieszkalny",39.5,2,4,1968,53.1409,23.1624,1.42,15,0.146,0.511,0.222,0.118,0.281,0.392,0.397,"yes","yes","no","no","yes",370000,292600
"58","Białystok","111376758e5590d1d26f5bf0908db81c","apartamentowiec",65,3,8,2017,53.1415216,23.0983071,3.26,3,0.936,1.283,0.537,0.319,0.205,2.648,0.227,"yes","no","yes","no","no",685000,292600
"59","Białystok","6f9c12ab0668cd32b801b6062ac92b63","blok mieszkalny",61,2,4,1998,53.1298,23.08541,4.01,9,0.316,0.454,0.145,0.473,0.421,2.681,0.074,"no","yes","no","no","yes",450000,292600
"60","Białystok","93cc5af9e643872bc7ae627b8903bcbc","apartamentowiec",41.37,2,13,2018,53.1502144,23.1599146,2.12,5,0.474,1.049,0.375,0.515,0.241,1.188,0.348,"no","yes","yes","no","no",499000,292600
"61","Białystok","c2da358da6ed9ce5bea34926b729cf84","blok mieszkalny",37.9,2,10,1977,53.1278441,23.1442521,0.62,13,0.336,0.366,0.498,0.445,0.29,0.675,0.292,"no","yes","yes","no","yes",309000,292600
"62","Białystok","4cf65285db9c3dd6b554cf8aaa85de98","blok mieszkalny",62.2,3,4,1976,53.1286702,23.1408121,0.6,9,0.144,0.47,0.311,0.222,0.495,0.602,0.514,"no","yes","no","no","yes",555000,292600
"63","Białystok","bef74e05acca3a890148870d3e497974","blok mieszkalny",36.5,2,3,1960,53.1317201,23.1606323,1.04,60,0.352,0.235,0.142,0.086,0.073,0.547,0.239,"no","no","no","no","no",365000,292600
"64","Białystok","46e5182a9f5f3f85e3ab1f650acb66dd","blok mieszkalny",44.2,2,3,2004,53.1237316,23.0961789,3.44,13,0.353,1.383,0.226,0.396,0.177,1.869,0.277,"yes","yes","no","no","yes",465000,292600
"65","Białystok","a722404f06cec32833ad9b4300ebcb98","blok mieszkalny",68.1,3,4,1993,53.111411,23.1386356,2.48,13,0.278,0.24,0.193,0.026,0.38,1.652,0.363,"no","yes","no","no","yes",619000,292600
