"","city","id","type","squareMeters","rooms","floorCount","buildYear","centreDistance","poiCount","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","population"
"11481","Wrocław","c2e1108fd0348628c5a70dc59bc054de","Kamienica",86,4,4,1902,2.17,25,0.198,0.804,0.343,0.132,0.258,0.169,0.068,"yes","yes","no","no","yes",997600,674079
"11482","Wrocław","8245e94b536866eac30b34ece52fc22b","Blok mieszkalny",102,3,2,2001,5.98,12,0.235,2.118,0.526,0.173,0.036,1.41,0.258,"no","no","no","no","no",975000,674079
"11483","Wrocław","62df7b77edcfc37cd3293d17c3924a11","Blok mieszkalny",51.97,2,4,1961,0.29,140,0.294,0.244,0.214,0.192,0.008,0.288,0.04,"no","no","no","no","yes",870000,674079
"11484","Wrocław","edafca2f1c7bbe8391ff0ed8d35fe4db","Blok mieszkalny",48,3,11,1975,2.47,22,0.105,1.342,0.467,0.296,0.484,0.709,0.324,"yes","no","yes","no","yes",569000,674079
"11485","Wrocław","fb3d59769a240e6b94fda2f80d71721c","Apartamentowiec",106.2,5,2,2001,5.96,12,0.224,2.11,0.536,0.164,0.017,1.393,0.237,"no","no","no","no","no",985000,674079
"11486","Wrocław","351e3dff6e8b3fc028a6095a54cce012","Blok mieszkalny",48,3,5,1970,3.66,13,0.021,0.818,0.866,0.092,0.32,0.613,0.357,"no","no","no","no","yes",597700,674079
"11487","Wrocław","743dffc40051610d07a3d8a2b0b5cee7","Apartamentowiec",86,3,3,2013,5.27,6,0.883,1.864,0.648,0.295,0.044,1.513,0.427,"yes","yes","no","no","yes",980000,674079
"11488","Wrocław","b353b17cee409dd43bc04ec7e3cf20e4","Kamienica",43.19,2,4,1940,2.12,7,0.521,0.581,0.3,0.349,0.369,1.286,0.269,"no","no","no","no","yes",460000,674079
"11489","Wrocław","f3476f563a68dc66da4b50d4d0429850","Kamienica",52,2,3,1931,2.13,17,0.179,0.07,0.617,0.183,0.461,1.119,0.066,"no","no","no","no","no",650000,674079
"11490","Wrocław","ae5a0a5767f30a560a048fffedbd82f9","Kamienica",80,3,3,1930,3.93,6,0.744,1.711,0.368,0.413,0.761,1.814,0.395,"yes","no","no","no","yes",780000,674079
"11491","Wrocław","6d6987a5c2cc5ba31f7e92dded565f8c","Blok mieszkalny",89.6,4,1,1991,5.18,9,0.314,1.453,0.456,0.348,0.572,1.42,0.439,"no","yes","no","no","yes",799000,674079
"11492","Wrocław","5e6662fec9ed2082c8196e0c37eeaa6d","Apartamentowiec",51.47,2,7,2007,0.95,44,0.11,0.558,0.09,0.233,0.046,0.145,0.121,"yes","yes","yes","yes","no",870000,674079
"11493","Wrocław","85c242384ac53df8ae77d45b423853cd","Blok mieszkalny",46.1,2,4,1971,7.15,4,0.169,2.966,1.445,0.174,0.992,2.383,0.525,"yes","no","no","no","yes",499000,674079
"11494","Wrocław","b6740f8f05875fe63f418e06450ecc1a","Kamienica",28.91,1,3,1950,5.56,3,1.266,2.799,1.06,0.768,0.229,1.438,0.403,"yes","no","no","no","no",269000,674079
"11495","Wrocław","42b12d007568c0161d4d76137743fec2","Blok mieszkalny",77,4,5,2000,5.22,2,1.371,1.207,0.876,0.057,0.647,3.092,0.517,"no","yes","yes","no","no",750000,674079
